goods_no,count,percent,_tc
12471100,1298658,0.360863,359875560
1132341105,1265368,0.351613,359875560
1131204602,1138148,0.316262,359875560
12503713,1103180,0.306545,359875560
1130529823,1073658,0.298341,359875560
12500305,1034940,0.287583,359875560
12503068,1028110,0.285685,359875560
1132122975,997928,0.277298,359875560
12493530,899992,0.250084,359875560
12503965,862546,0.239679,359875560
1132292121,817386,0.22713,359875560
12504322,808104,0.224551,359875560
12495623,789518,0.219386,359875560
1132108713,755316,0.209883,359875560
12501804,730198,0.202903,359875560
12504229,716888,0.199204,359875560
1132656328,707182,0.196507,359875560
12462814,692890,0.192536,359875560
12504015,667050,0.185356,359875560
1132100050,626064,0.173967,359875560
1132343581,624322,0.173483,359875560
12493145,616724,0.171371,359875560
12490621,616522,0.171315,359875560
12504402,601410,0.167116,359875560
12504002,601348,0.167099,359875560
12500433,601124,0.167037,359875560
12479601,594972,0.165327,359875560
12491073,593650,0.16496,359875560
12475662,571252,0.158736,359875560
12495015,547976,0.152268,359875560
12494115,547234,0.152062,359875560
12503901,547132,0.152034,359875560
12503064,545964,0.151709,359875560
12493858,542180,0.150658,359875560
12503662,529372,0.147099,359875560
12503960,518274,0.144015,359875560
1122635570,517608,0.14383,359875560
12503720,498302,0.138465,359875560
12497676,495188,0.1376,359875560
12499644,487064,0.135342,359875560
12503899,476772,0.132482,359875560
12499899,457880,0.127233,359875560
1101594009,455502,0.126572,359875560
1133682869,451670,0.125507,359875560
1132292116,434504,0.120737,359875560
12498116,433492,0.120456,359875560
1091345460,429174,0.119256,359875560
12496755,428710,0.119127,359875560
12502374,425208,0.118154,359875560
12485791,419664,0.116614,359875560
1122566186,419162,0.116474,359875560
12502642,403198,0.112038,359875560
12497879,395262,0.109833,359875560
12485971,382386,0.106255,359875560
12502517,378736,0.105241,359875560
12503862,377878,0.105002,359875560
12492944,376926,0.104738,359875560
12504012,376606,0.104649,359875560
12502985,374924,0.104182,359875560
12501973,372216,0.103429,359875560
12502882,369622,0.102708,359875560
1094215830,367402,0.102091,359875560
1132693827,364794,0.101367,359875560
12497903,360230,0.100098,359875560
1109029947,359498,0.099895,359875560
12497880,353560,0.098245,359875560
12501955,351146,0.097574,359875560
12496779,339416,0.094315,359875560
12491219,338522,0.094066,359875560
12496556,337366,0.093745,359875560
12499943,335588,0.093251,359875560
12470691,323988,0.090028,359875560
1132505213,316780,0.088025,359875560
12498535,311300,0.086502,359875560
12500136,301234,0.083705,359875560
1133931067,297106,0.082558,359875560
1113694121,296790,0.08247,359875560
12502516,294422,0.081812,359875560
12499720,292132,0.081176,359875560
12501931,291086,0.080885,359875560
12475167,291070,0.080881,359875560
12503898,289788,0.080525,359875560
1113966591,289166,0.080352,359875560
1132087106,288534,0.080176,359875560
12501671,287124,0.079784,359875560
1132119107,285928,0.079452,359875560
12503955,285644,0.079373,359875560
12502850,282544,0.078512,359875560
1132744563,280510,0.077946,359875560
1132502627,280400,0.077916,359875560
12500468,279750,0.077735,359875560
1133953177,277882,0.077216,359875560
1120688410,277824,0.0772,359875560
1129189861,275948,0.076679,359875560
1117867433,275738,0.07662,359875560
12493563,271324,0.075394,359875560
12486658,270490,0.075162,359875560
1133469830,265630,0.073812,359875560
12499090,264772,0.073573,359875560
12503841,263450,0.073206,359875560
12504008,260552,0.072401,359875560
12489257,257846,0.071649,359875560
12504065,257476,0.071546,359875560
12497653,257254,0.071484,359875560
12493785,256864,0.071376,359875560
12503725,256626,0.07131,359875560
1132083053,256360,0.071236,359875560
1133408135,253964,0.07057,359875560
12502838,253574,0.070462,359875560
12498646,253060,0.070319,359875560
12502995,250090,0.069493,359875560
1132491611,249156,0.069234,359875560
12501933,247708,0.068832,359875560
1134069641,245878,0.068323,359875560
1131465444,245594,0.068244,359875560
1127967061,243484,0.067658,359875560
12491137,241214,0.067027,359875560
12483561,238782,0.066351,359875560
1132523564,238352,0.066232,359875560
12503997,238048,0.066147,359875560
1132015912,233856,0.064982,359875560
1132729687,230718,0.06411,359875560
1132138518,230626,0.064085,359875560
1131202407,229440,0.063755,359875560
1100689028,227480,0.063211,359875560
12498594,227110,0.063108,359875560
12503993,223538,0.062115,359875560
1132284106,222506,0.061829,359875560
12497693,220964,0.0614,359875560
12499092,217948,0.060562,359875560
12503904,217512,0.060441,359875560
12503990,217206,0.060356,359875560
12503986,216352,0.060119,359875560
12499808,215550,0.059896,359875560
12503930,215302,0.059827,359875560
1131507718,215080,0.059765,359875560
12501930,212068,0.058928,359875560
12497525,207604,0.057688,359875560
12486714,206920,0.057498,359875560
1134260952,206650,0.057423,359875560
12504016,202910,0.056383,359875560
1063285689,201940,0.056114,359875560
12500684,201382,0.055959,359875560
12493753,197580,0.054902,359875560
12486567,197382,0.054847,359875560
1130944889,194292,0.053989,359875560
1132867784,194236,0.053973,359875560
12497832,194146,0.053948,359875560
12488910,192254,0.053422,359875560
1084380151,190218,0.052857,359875560
1103788215,189938,0.052779,359875560
12503863,184722,0.051329,359875560
4075600,181890,0.050542,359875560
1133931145,181726,0.050497,359875560
12465080,179096,0.049766,359875560
12498317,178842,0.049696,359875560
12499633,178086,0.049485,359875560
1133403168,177566,0.049341,359875560
12492377,174264,0.048423,359875560
12503628,173188,0.048124,359875560
1100701453,172756,0.048004,359875560
1098803778,170596,0.047404,359875560
12497507,170512,0.047381,359875560
1133409445,169696,0.047154,359875560
1133418709,163228,0.045357,359875560
1133458172,162844,0.04525,359875560
12491191,161854,0.044975,359875560
12495705,160290,0.04454,359875560
1132671342,159496,0.04432,359875560
1132692571,158888,0.044151,359875560
12504028,158866,0.044145,359875560
12497709,158708,0.044101,359875560
12449987,154208,0.04285,359875560
12502839,153828,0.042745,359875560
1131246042,153822,0.042743,359875560
1048419139,152940,0.042498,359875560
12496438,152238,0.042303,359875560
12499722,150956,0.041947,359875560
1131426820,148654,0.041307,359875560
1130766695,147610,0.041017,359875560
1085412806,145676,0.04048,359875560
12493799,145574,0.040451,359875560
12504329,145070,0.040311,359875560
1126225688,144346,0.04011,359875560
1124265664,143376,0.03984,359875560
12503874,142808,0.039683,359875560
12492524,142568,0.039616,359875560
1132688465,142304,0.039543,359875560
1100053617,140534,0.039051,359875560
12493784,138790,0.038566,359875560
12485733,138168,0.038393,359875560
12496107,137788,0.038288,359875560
1134262365,137390,0.038177,359875560
1132744437,135952,0.037778,359875560
12503829,135500,0.037652,359875560
1116672102,135052,0.037527,359875560
1070793807,134996,0.037512,359875560
12497898,133898,0.037207,359875560
12496756,133320,0.037046,359875560
12499719,133052,0.036972,359875560
1128962612,131960,0.036668,359875560
12503012,130528,0.03627,359875560
12473989,129932,0.036105,359875560
1133472404,129894,0.036094,359875560
12502994,129648,0.036026,359875560
1132918006,125780,0.034951,359875560
1132905485,125120,0.034768,359875560
12497708,124106,0.034486,359875560
1132501799,124088,0.034481,359875560
12471211,123732,0.034382,359875560
1132705418,123628,0.034353,359875560
12493541,122716,0.0341,359875560
1120392999,121576,0.033783,359875560
1072571680,121212,0.033682,359875560
12502860,120844,0.033579,359875560
12484100,119142,0.033106,359875560
1132332148,119012,0.03307,359875560
1063801935,118814,0.033015,359875560
12495335,118680,0.032978,359875560
12498692,117776,0.032727,359875560
12503208,117348,0.032608,359875560
1103661292,116274,0.03231,359875560
1132863200,116194,0.032287,359875560
12502597,115476,0.032088,359875560
1132719413,115382,0.032062,359875560
1133664791,115108,0.031986,359875560
1130713378,114874,0.03192,359875560
