product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
12471100,[하이랜드푸드]LA갈비 원육 2kg + 2kg 총 4kg,홈,TV쇼핑,식품/건강식품,,,,,,,,하이랜드푸드,산하물산,뉴질랜드,"105,000","104,000","98,800",96,4926
1132341105,[르샵]패딩/코드 둘도없는 파격가 구매찬스! 추운겨울에도 스타일리쉬하게!,홈,여성의류,아우터/베스트/가죽/모피,코트,알파카/모직코트,,,,,,,,,,"32,000",,,32
1131204602,[리복(REEBOK)-]런닝화/아동화外 18종 택1,홈,롯데아울렛,스포츠/아웃도어,스포츠 슈즈,스포츠/기능화,워킹화/런닝화,,,,,,,,"15,000","14,250",,,223
12503713,[라뮤리나 바이 장형철]장형철 컬렉션 울블렌디드 코트,홈,TV쇼핑,여성의류,,,,,,,,라뮤리나 바이 장형철,디피앤케이OEM,중국,"87,000","86,000","81,700",,1534
1130529823,[설화수][설]자음 기초 2종(+1만원 상품권+9종+쇼핑백)세트,홈,롯데백화점,명품화장품,세트,스킨케어세트,스킨로션세트,,,,,설화수,㈜아모레퍼시픽,한국,"120,000",,"114,000",,678
12500305,[존쿡델리미트 바베큐]존쿡델리미트 학센 3종세트,홈,TV쇼핑,식품/건강식품,,,,,,,,존쿡델리미트 바베큐,에쓰푸드(주),한국,"99,000","98,000","93,100",95,3353
12503068,[예쎄]예쎄 Pre-Spring 구스 경량 다운 코트,홈,TV쇼핑,여성의류,,,,,,,,예쎄,제이에스컴퍼니,중국,"69,000","68,000","64,600",,1197
1132122975,[르크루제]설날 음식준비&GIFT찬스!(무쇠냄비/스톤웨어/그릴外),홈,주방,조리기구,더키친갤러리관,명품브랜드관,냄비,양수냄비,,,,,,,"26,000","23,920",,,260
12493530,[디디에 파라키앙]DIDIER PARAKIAN 디디에 파라키앙 경량다운,홈,TV쇼핑,여성의류,,,,,,,,디디에 파라키앙,단동호흥무역유한공사,중국,"79,000","78,000","74,100",,2051
12503965,[청정에][2016 설]청정에 사과4kg + 배5kg 세트,홈,TV쇼핑,식품/건강식품,,,,,,,,청정에,대신영농조합법인,한국,"43,900","42,900","40,750",96,1485
1132292121,[과일선물세트] 설 과일선물세트 대전,홈,신선식품,과일/농산물,과일,사과,,,,,,,,,,"45,900",,,3837
12504322,판매불가 상품,,,,,,,,,,,,,,,,,,
12495623,[컬처콜(CULTURE CALL)-][컬처콜] 울혼방 아웃 포켓 롱 코트,홈,TV쇼핑,여성의류,,,,,,,,컬처콜(CULTURE CALL)-,대명통상,한국,"79,000","78,000","74,100",,976
1132108713,[JJ지고트/라인外] 놓치면 후회할! 아우터 최종가 코트/다운外 30종 택1,홈,롯데백화점,영캐주얼,가죽/모피,가죽점퍼/재킷/코트,인조,,,,,,,,"40,000","36,000",,,280
12501804,[메쎄(MESSE)]메쎄 데일리부츠 II,홈,TV쇼핑,패션잡화,,,,,,,,메쎄(MESSE),유리미디어,한국,"59,000","58,000","55,100",,1254
12504229,판매불가 상품,,,,,,,,,,,,,,,,,,
